program_id,institution_id,program_name,field_tags,degree_level,mode,tuition_aud_per_year,intakes,is_migration_aligned
1,1,Design (Diploma),Ecology;Design,Diploma,online,27998,2;7,FALSE
2,1,Architecture (Diploma),Architecture;Finance,Diploma,oncampus,19528,10,FALSE
3,1,Accounting (Bachelor),Marketing;Banking;Computer Science,Bachelor,oncampus,36627,2;7,FALSE
4,1,Artificial Intelligence (Bachelor),Artificial Intelligence;Film,Bachelor,oncampus,28612,2;3,TRUE
5,1,Artificial Intelligence (Bachelor),Design;Film,Bachelor,oncampus,38206,3;10,TRUE
6,1,Artificial Intelligence (Master),Banking;Psychology;Cybersecurity,Master,oncampus,29021,2;7,FALSE
7,1,Data Science (Bachelor),Data Science;Design;Data Science,Bachelor,oncampus,38990,3;10,FALSE
8,1,Design (Master),Design;Public Health;Data Science,Master,hybrid,29016,10,FALSE
9,1,Banking (Diploma),Law;Environmental Science;Public Health,Diploma,oncampus,26529,10,TRUE
10,1,Business (Bachelor),Ecology;International Law,Bachelor,oncampus,34684,10,TRUE
11,1,Education (Bachelor),Education;Engineering;Renewable Energy,Bachelor,oncampus,28568,3;7,TRUE
12,1,Architecture (Bachelor),Film;Sustainable Design,Bachelor,hybrid,32736,2,FALSE
13,1,Data Science (Master),International Law;Data Science,Master,oncampus,34184,3,FALSE
14,1,Sustainable Design (Diploma),Ecology;Banking;Sustainable Design,Diploma,hybrid,21104,7,FALSE
15,1,Design (Bachelor),Finance;Business,Bachelor,hybrid,35762,2;7,FALSE
16,1,Public Health (Bachelor),Cybersecurity;Public Health;Education,Bachelor,hybrid,33385,2,TRUE
17,1,Artificial Intelligence (Master),Artificial Intelligence;International Law;Business,Master,hybrid,50361,3,TRUE
18,1,Banking (Bachelor),Film;Architecture,Bachelor,oncampus,28790,3;7,FALSE
19,1,Renewable Energy (Bachelor),Renewable Energy;Artificial Intelligence,Bachelor,oncampus,32374,3,TRUE
20,1,Computer Science (Diploma),Computer Science;Accounting;Design,Diploma,oncampus,27914,3;10,FALSE
21,1,Data Science (Bachelor),Ecology;Data Science;International Law,Bachelor,hybrid,39083,2;3,FALSE
22,1,Cybersecurity (Master),Cybersecurity;Architecture,Master,online,38230,2,FALSE
23,1,Information Technology (Bachelor),Public Health;Information Technology,Bachelor,oncampus,38221,3,TRUE
24,1,Architecture (Bachelor),Artificial Intelligence;Accounting,Bachelor,oncampus,38936,2,TRUE
25,1,Artificial Intelligence (PhD),Architecture;Accounting,PhD,oncampus,47879,2;10,FALSE
26,1,Marketing (Bachelor),Banking;Psychology,Bachelor,online,38851,2;10,FALSE
27,1,Finance (Bachelor),Finance;Law;Information Technology,Bachelor,oncampus,29696,7;10,TRUE
28,1,Renewable Energy (Bachelor),Renewable Energy;Artificial Intelligence;Marketing,Bachelor,online,33392,3,FALSE
29,1,Psychology (Diploma),Psychology;Accounting,Diploma,oncampus,23791,7,FALSE
30,1,Banking (Bachelor),Public Health;Environmental Science;Banking,Bachelor,online,30389,3;7,FALSE
31,1,Public Health (PhD),Public Health;Sustainable Design,PhD,oncampus,52671,7,FALSE
32,1,Business (PhD),Accounting;Business,PhD,oncampus,32811,7;10,TRUE
33,1,Design (Bachelor),Design;Nursing;Data Science,Bachelor,oncampus,39822,2,TRUE
34,1,Ecology (Bachelor),Banking;Nursing;Film,Bachelor,oncampus,27959,7;10,TRUE
35,1,Engineering (Bachelor),Design;Information Technology,Bachelor,oncampus,34120,7,FALSE
36,2,Business (Master),Ecology;Marketing;Banking,Master,oncampus,50671,2;10,TRUE
37,2,Environmental Science (PhD),International Law;Education;Environmental Science,PhD,oncampus,49492,7,TRUE
38,2,Information Technology (Master),Information Technology;Finance;Data Science,Master,hybrid,37874,3,FALSE
39,2,Accounting (Master),Marketing;Architecture,Master,hybrid,40183,7;10,FALSE
40,2,Ecology (Master),Ecology;Banking,Master,hybrid,43586,10,FALSE
41,2,Accounting (Bachelor),Sustainable Design;Accounting;Education,Bachelor,online,40207,3;10,FALSE
42,2,Banking (Master),Design;Education;Banking,Master,hybrid,33699,2,TRUE
43,2,Banking (Bachelor),Cybersecurity;Banking,Bachelor,online,32015,3;7,FALSE
44,2,Film (PhD),Cybersecurity;Law,PhD,oncampus,42757,2;10,TRUE
45,2,Renewable Energy (PhD),International Law;Ecology,PhD,oncampus,35895,7,FALSE
46,2,Film (Bachelor),Ecology;Nursing,Bachelor,oncampus,41968,10,TRUE
47,2,Environmental Science (Bachelor),Architecture;Finance;Environmental Science,Bachelor,online,38946,7,FALSE
48,2,Psychology (Bachelor),Finance;Nursing;Computer Science,Bachelor,oncampus,36716,10,FALSE
