program_id,program_name,field_tags,mentor_id,mentor_name,expertise_tags,languages,education_background,years_experience,institution_id,institution_name,overall_ranking,pred_label_match
23,Information Technology,Public Health;Information Technology,264,Arjun Jamal,Environmental Science;Public Health;Information Technology,Nepali,Master,19,1,Australian Catholic University (ACU),103,0.6428
23,Information Technology,Public Health;Information Technology,575,Mina Park,Environmental Science;Computer Science;Information Technology,English,Master,10,1,Australian Catholic University (ACU),103,0.6225
23,Information Technology,Public Health;Information Technology,84,Trang Liu,Information Technology;Computer Science,Nepali;Japanese,PhD,8,1,Australian Catholic University (ACU),103,0.6199
23,Information Technology,Public Health;Information Technology,106,Noah Le,Information Technology;Computer Science,Mandarin,Mixed,19,1,Australian Catholic University (ACU),103,0.6199
23,Information Technology,Public Health;Information Technology,594,Nora Hernandez,Information Technology;Computer Science,Mandarin;Hindi,Master,17,1,Australian Catholic University (ACU),103,0.6199
23,Information Technology,Public Health;Information Technology,660,Chen Li,Computer Science;Information Technology,Hindi,Bachelor,13,1,Australian Catholic University (ACU),103,0.6199
23,Information Technology,Public Health;Information Technology,715,Yuki Miller,Information Technology;Public Health,Arabic;Italian;German,Master,6,1,Australian Catholic University (ACU),103,0.6121
23,Information Technology,Public Health;Information Technology,126,Amir Gupta,Information Technology;Environmental Science;Education,German;Thai;Mandarin,Master,11,1,Australian Catholic University (ACU),103,0.6083
23,Information Technology,Public Health;Information Technology,222,Ethan Jamal,Data Science;Computer Science;Public Health,Mandarin;Vietnamese;Thai,Bachelor,12,1,Australian Catholic University (ACU),103,0.6057
23,Information Technology,Public Health;Information Technology,343,Aria Ahmed,Accounting;Information Technology;Public Health;Computer Science,English;Korean;Hindi,Mixed,15,1,Australian Catholic University (ACU),103,0.6028
23,Information Technology,Public Health;Information Technology,331,Mateo Zhang,Information Technology;Environmental Science,English;Urdu,Mixed,13,1,Australian Catholic University (ACU),103,0.6016
23,Information Technology,Public Health;Information Technology,519,Hannah Khan,Data Science;Information Technology,Spanish;Urdu;Arabic,Mixed,1,1,Australian Catholic University (ACU),103,0.6015
23,Information Technology,Public Health;Information Technology,97,Grace Liu,Public Health;Data Science,Italian,PhD,15,1,Australian Catholic University (ACU),103,0.5984
23,Information Technology,Public Health;Information Technology,121,Aisha Tran,Data Science;Public Health,Mandarin,PhD,13,1,Australian Catholic University (ACU),103,0.5984
23,Information Technology,Public Health;Information Technology,782,Jia Le,Computer Science;International Law;Education;Information Technology,Hindi,Bachelor,19,1,Australian Catholic University (ACU),103,0.5954
23,Information Technology,Public Health;Information Technology,573,Min Hussain,Environmental Science;Information Technology;Business,Nepali,Mixed,15,1,Australian Catholic University (ACU),103,0.5906
23,Information Technology,Public Health;Information Technology,693,Jacob Lee,Education;Information Technology,Japanese;Arabic;Spanish,Mixed,7,1,Australian Catholic University (ACU),103,0.5864
23,Information Technology,Public Health;Information Technology,394,Farah Grant,Information Technology;Business;Public Health;Finance,Urdu;English,Bachelor,6,1,Australian Catholic University (ACU),103,0.5859
23,Information Technology,Public Health;Information Technology,535,Arjun Fernandez,Information Technology;Computer Science;Sustainable Design,Nepali,PhD,5,1,Australian Catholic University (ACU),103,0.5803
23,Information Technology,Public Health;Information Technology,555,Olivia Ng,Data Science;Information Technology;Finance,Nepali;French,Mixed,2,1,Australian Catholic University (ACU),103,0.5717
23,Information Technology,Public Health;Information Technology,471,Suraj Huang,Information Technology;Marketing;Data Science,Nepali;Urdu,PhD,4,1,Australian Catholic University (ACU),103,0.5712
23,Information Technology,Public Health;Information Technology,276,Iris Tran,Computer Science;Public Health;Business,Russian;Urdu;Korean,PhD,11,1,Australian Catholic University (ACU),103,0.563
23,Information Technology,Public Health;Information Technology,433,Kim Yang,Renewable Energy;Information Technology;Data Science,Urdu;Japanese,Master,6,1,Australian Catholic University (ACU),103,0.5625
23,Information Technology,Public Health;Information Technology,603,Olivia Choi,Environmental Science;Information Technology;Engineering,Italian;Indonesian;Nepali,Bachelor,17,1,Australian Catholic University (ACU),103,0.5608
23,Information Technology,Public Health;Information Technology,240,Aria Chan,Law;Education;Information Technology,Urdu;Japanese,PhD,3,1,Australian Catholic University (ACU),103,0.5601
23,Information Technology,Public Health;Information Technology,96,Ana Clark,Banking;Education;Public Health;Information Technology,Hindi;Spanish;Japanese,PhD,9,1,Australian Catholic University (ACU),103,0.5585
