program_id,program_name,field_tags,mentor_id,mentor_name,expertise_tags,languages,education_background,years_experience,institution_id,institution_name,overall_ranking
535,Education,Information Technology;Education,1,Jia Chen,Renewable Energy;Education;Law,English;Vietnamese;German,Mixed,9,18,Monash University,360
535,Education,Information Technology;Education,2,Li Chen,Marketing;Law;Artificial Intelligence,Indonesian;Urdu,Bachelor,9,18,Monash University,360
535,Education,Information Technology;Education,3,Mina Singh,Accounting;Public Health,Urdu;Russian;Nepali,Bachelor,17,18,Monash University,360
535,Education,Information Technology;Education,4,Anh Singh,Law;Cybersecurity;Accounting,Indonesian,Mixed,17,18,Monash University,360
535,Education,Information Technology;Education,5,Wei Nakamura,Accounting;Public Health,Vietnamese;Thai,Mixed,16,18,Monash University,360
535,Education,Information Technology;Education,6,Mina Ivanov,Business;Information Technology;Cybersecurity;Finance,Urdu;Vietnamese;Nepali,Master,15,18,Monash University,360
535,Education,Information Technology;Education,7,Anh Clark,Cybersecurity;Marketing;Engineering;Film,Mandarin;Nepali;Japanese,Bachelor,2,18,Monash University,360
535,Education,Information Technology;Education,8,Fatima Omar,Psychology;Education,Vietnamese;Japanese;Hindi,Mixed,12,18,Monash University,360
535,Education,Information Technology;Education,9,Lucas Fernandez,Law;Finance;Computer Science,Mandarin;Hindi;Nepali,PhD,7,18,Monash University,360
535,Education,Information Technology;Education,10,Fatima Kaur,Marketing;Computer Science,French;Indonesian;Spanish,Mixed,1,18,Monash University,360
535,Education,Information Technology;Education,11,Nadia Liu,Engineering;Marketing;Architecture,Russian;Arabic;Mandarin,Master,5,18,Monash University,360
535,Education,Information Technology;Education,12,Alex Baker,Banking;Renewable Energy;Nursing;Cybersecurity,Vietnamese,Bachelor,7,18,Monash University,360
535,Education,Information Technology;Education,13,Hannah Park,Business;Accounting;Banking;Law,Korean;Mandarin;Vietnamese,Master,15,18,Monash University,360
535,Education,Information Technology;Education,14,Isha O'Neill,Marketing;Computer Science;Public Health;Renewable Energy,Arabic;Nepali;Indonesian,Master,7,18,Monash University,360
535,Education,Information Technology;Education,15,Sienna Nguyen,Psychology;Design;Nursing,Nepali,Master,17,18,Monash University,360
535,Education,Information Technology;Education,16,Nadia Rahman,Marketing;Computer Science;International Law;Information Technology,Nepali,Bachelor,13,18,Monash University,360
535,Education,Information Technology;Education,17,Grace Ali,Sustainable Design;Ecology,German;Korean,Master,3,18,Monash University,360
535,Education,Information Technology;Education,18,Suresh Rodriguez,Ecology;Education,Indonesian;English;Vietnamese,PhD,9,18,Monash University,360
535,Education,Information Technology;Education,19,Dinesh Huang,Ecology;Public Health;Engineering;Banking,Japanese;Russian;Spanish,PhD,3,18,Monash University,360
535,Education,Information Technology;Education,20,Levi Le,Law;Information Technology;Renewable Energy,Korean;Japanese,Bachelor,11,18,Monash University,360
535,Education,Information Technology;Education,21,Harper Zhang,Architecture;Ecology,Russian,Bachelor,19,18,Monash University,360
535,Education,Information Technology;Education,22,Fatima Trivedi,Film;Psychology;Finance,Russian;Indonesian;Urdu,Bachelor,15,18,Monash University,360
535,Education,Information Technology;Education,23,Noor Green,Business;Renewable Energy,German,Bachelor,3,18,Monash University,360
535,Education,Information Technology;Education,24,Noelle Ali,International Law;Business;Marketing,Russian;Hindi,PhD,2,18,Monash University,360
535,Education,Information Technology;Education,25,Nguyen Patel,Finance;Psychology;Marketing,French;German,PhD,16,18,Monash University,360
535,Education,Information Technology;Education,26,Yuki Kumar,Design;Data Science,Arabic;Japanese,Master,9,18,Monash University,360
535,Education,Information Technology;Education,27,Arjun Kumar,Nursing;Ecology;Environmental Science;Engineering,Korean;Thai,Mixed,11,18,Monash University,360
535,Education,Information Technology;Education,28,Rosa Sanchez,Information Technology;Artificial Intelligence;Engineering,Vietnamese,Bachelor,18,18,Monash University,360
535,Education,Information Technology;Education,29,Marcus Fisher,Psychology;Information Technology;Ecology;Design,Nepali;Hindi;Thai,PhD,7,18,Monash University,360
535,Education,Information Technology;Education,30,Hannah Garcia,Architecture;Law,Thai;Urdu;Arabic,Mixed,16,18,Monash University,360
535,Education,Information Technology;Education,31,Farah Trivedi,Public Health;Finance;International Law,Nepali;Russian;Spanish,Master,8,18,Monash University,360
535,Education,Information Technology;Education,32,Daniel Johnson,Computer Science;Accounting;Education,Italian;Arabic,Bachelor,9,18,Monash University,360
